State,Avg_Tuitionfee_In,Avg_Tuitionfee_Out,Debt_Mdn
AK,5976,18184,9500
AL,15156,20549,385218
AR,16163,19378,217849
AZ,21070,26436,38462
CA,28360,34175,1218807
CO,14156,26165,195226
CT,24150,32213,248247
DC,37667,37667,89426
DE,15336,24678,53000
FL,17919,23264,515301
GA,17854,22475,590312
HI,11983,20731,45000
IA,28314,30091,507142
ID,10792,17585,81366
IL,26307,28696,855352
IN,24215,28801,703638
KS,20460,23064,262771
KY,19870,23546,353186
LA,14472,22048,314302
MA,31715,35042,858222
MD,22879,29279,335719
ME,22752,29366,124863
MI,22147,27357,703062
MN,25644,27128,538500
MO,19767,22314,571163
MS,10889,14974,221538
MT,14153,24079,87955
NC,20231,25192,741447
ND,10741,14844,118907
NE,20096,22088,250666
NH,28376,34373,120423
NJ,26514,31312,453428
NM,8280,17694,52486
NV,15158,24432,39500
NY,27239,30574,1533875
OH,24989,27299,986706
OK,15307,20198,233961
OR,24711,32571,288715
PA,26053,29103,2023801
PR,2404,4771,13900
RI,33307,38837,100432
SC,19030,25464,423635
SD,16476,18236,180603
TN,20656,23920,571285
TX,18998,24345,930123
UT,12036,21009,51560
VA,25316,31936,665800
VI,5235,14496,7366
VT,23413,32358,119798
WA,24481,32667,310301
WI,22149,26129,573607
WV,15280,20388,251172
WY,5055,16215,11250
